time r-J rJ_err r-H rH_err r-K rK_err
5.95674599864 2.15627639627 0.0324577392291 1.0 1.0 1.0 1.0
12.9257459986 2.31195369861 0.0354577391863 1.0 1.0 1.0 1.0
13.9837459986 2.31142419222 0.0324577391837 1.0 1.0 1.0 1.0
15.9357459986 2.3604257657 0.0294577391779 1.0 1.0 1.0 1.0
19.9227459986 2.37905401628 0.0344577391835 1.0 1.0 1.0 1.0
5.95674599864 1.0 1.0 2.74856219835 0.0474577392291 1.0 1.0
12.9257459986 1.0 1.0 2.87223950069 0.0594577391863 1.0 1.0
13.9837459986 1.0 1.0 2.8757099943 0.0394577391837 1.0 1.0
15.9357459986 1.0 1.0 2.84971156778 0.0574577391779 1.0 1.0
19.9227459986 1.0 1.0 2.93633981836 0.0374577391835 1.0 1.0
5.95674599864 1.0 1.0 1.0 1.0 0.594528764572 0.0364577392291
12.9257459986 1.0 1.0 1.0 1.0 0.704206066912 0.0444577391863
13.9837459986 1.0 1.0 1.0 1.0 0.710676560523 0.0414577391837
15.9357459986 1.0 1.0 1.0 1.0 0.744678134006 0.0404577391779
19.9227459986 1.0 1.0 1.0 1.0 0.795306384585 0.0554577391835
