Name Band MJD Mag Magerr
2008bj U 54552.34787 17.2131 0.0405
2008bj U 54553.36404 17.2661 0.04
2008bj U 54554.17434 17.4286 0.039
2008bj U 54555.50373 17.7177 0.119
2008bj U 54556.29391 17.5645 0.0405
2008bj U 54557.32593 17.8303 0.049
2008bj U 54558.28646 17.7873 0.057
2008bj U 54559.30045 18.0756 0.05
2008bj U 54564.17713 18.4293 0.074
2008bj U 54565.28555 18.5348 0.073
2008bj U 54566.21464 18.5556 0.1
2008bj U 54569.23342 18.389 0.146
2008bj U 54570.20098 18.6782 0.187
2008bj U 54572.20237 19.306 0.195
2008bj B 54552.34229 17.6088 0.02
2008bj B 54553.35846 17.6874 0.019
2008bj B 54554.16939 17.7406 0.02
2008bj B 54555.49999 17.7999 0.0305
2008bj B 54556.28835 17.7799 0.021
2008bj B 54557.32037 17.8403 0.02
2008bj B 54558.28029 17.9856 0.021
2008bj B 54559.29487 17.9344 0.0225
2008bj B 54564.17154 18.1653 0.026
2008bj B 54565.28059 18.2363 0.028
2008bj B 54566.20872 18.274 0.033
2008bj B 54569.2275 18.387 0.039
2008bj B 54570.19543 18.277 0.05
2008bj B 54572.19862 18.3071 0.064
2008bj V 54552.33859 17.4442 0.019
2008bj V 54553.35476 17.4474 0.02
2008bj V 54554.16568 17.4421 0.019
2008bj V 54555.49626 17.4442 0.0235
2008bj V 54556.28463 17.4237 0.018
2008bj V 54557.31667 17.4121 0.019
2008bj V 54558.27657 17.4234 0.019
2008bj V 54559.29115 17.4507 0.019
2008bj V 54564.16784 17.5261 0.02
2008bj V 54565.27689 17.5552 0.021
2008bj V 54566.20501 17.5768 0.0215
2008bj V 54569.2238 17.6488 0.027
2008bj V 54570.1917 17.5808 0.03
2008bj V 54572.19492 17.7137 0.022
2008bj r 54552.33557 17.3665 0.018
2008bj r 54553.35175 17.3529 0.019
2008bj r 54554.16266 17.3316 0.018
2008bj r 54555.49324 17.3202 0.022
2008bj r 54556.28162 17.3049 0.02
2008bj r 54557.31366 17.2941 0.018
2008bj r 54558.27355 17.2929 0.018
2008bj r 54559.28812 17.294 0.017
2008bj r 54564.16481 17.3202 0.0185
2008bj r 54565.27387 17.3375 0.018
2008bj r 54566.20199 17.3381 0.019
2008bj r 54568.11456 17.3891 0.023
2008bj r 54569.22079 17.3755 0.02
2008bj r 54570.18868 17.4282 0.022
2008bj r 54572.1919 17.4352 0.02
