time U-B UB_err r-J rJ_err r-H rH_err r-K rK_err
7.42096460124 0.642117512833 0.0349256175116 1.0 1.0 1.0 1.0 1.0 1.0
11.4401746012 0.832575149858 0.0341924485465 1.0 1.0 1.0 1.0 1.0 1.0
12.3747346012 0.874034335424 0.0352656127148 1.0 1.0 1.0 1.0 1.0 1.0
13.4501346012 0.854912418588 0.0353385847411 1.0 1.0 1.0 1.0 1.0 1.0
14.4098646012 0.80105199035 0.0374119572984 1.0 1.0 1.0 1.0 1.0 1.0
15.3836546012 0.872065956234 0.0354892435647 1.0 1.0 1.0 1.0 1.0 1.0
16.4016946012 0.824383293094 0.0365698863866 1.0 1.0 1.0 1.0 1.0 1.0
17.4024846012 0.813658104382 0.0376546258956 1.0 1.0 1.0 1.0 1.0 1.0
18.4480946012 0.933804934154 0.0397320366256 1.0 1.0 1.0 1.0 1.0 1.0
7.42435460124 1.0 1.0 1.06447194238 0.0449680307833 1.0 1.0 1.0 1.0
8.42135460124 1.0 1.0 1.13614159672 0.0289566163562 1.0 1.0 1.0 1.0
12.4133546012 1.0 1.0 1.20844754505 0.0390784869958 1.0 1.0 1.0 1.0
13.4113546012 1.0 1.0 1.24173029354 0.265047201158 1.0 1.0 1.0 1.0
14.4213546012 1.0 1.0 1.24037342569 0.0290055361156 1.0 1.0 1.0 1.0
15.4083546012 1.0 1.0 1.22345565122 0.0269778769679 1.0 1.0 1.0 1.0
16.4043546012 1.0 1.0 1.2422556781 0.0269683234062 1.0 1.0 1.0 1.0
17.4033546012 1.0 1.0 1.32054919339 0.264977723904 1.0 1.0 1.0 1.0
23.4073546012 1.0 1.0 1.2798833084 0.0350892507474 1.0 1.0 1.0 1.0
28.3873546012 1.0 1.0 1.30283713409 0.0342212875599 1.0 1.0 1.0 1.0
29.3553546012 1.0 1.0 1.28916468604 0.0282264463057 1.0 1.0 1.0 1.0
30.3733546012 1.0 1.0 1.24812966758 0.190252292681 1.0 1.0 1.0 1.0
37.3063546012 1.0 1.0 1.18377312151 0.0313191159482 1.0 1.0 1.0 1.0
7.42435460124 1.0 1.0 1.0 1.0 1.28223875651 0.0439680307833 1.0 1.0
8.42135460124 1.0 1.0 1.0 1.0 1.37390841085 0.189956616356 1.0 1.0
12.4133546012 1.0 1.0 1.0 1.0 1.50021435918 0.0400784869958 1.0 1.0
13.4113546012 1.0 1.0 1.0 1.0 1.62049710766 0.0340472011582 1.0 1.0
14.4213546012 1.0 1.0 1.0 1.0 1.53114023982 0.0300055361156 1.0 1.0
15.4083546012 1.0 1.0 1.0 1.0 1.56422246534 0.189977876968 1.0 1.0
16.4043546012 1.0 1.0 1.0 1.0 1.56702249222 0.0309683234062 1.0 1.0
17.4033546012 1.0 1.0 1.0 1.0 1.65531600752 0.041977723904 1.0 1.0
23.4073546012 1.0 1.0 1.0 1.0 1.74465012253 0.0270892507474 1.0 1.0
28.3873546012 1.0 1.0 1.0 1.0 1.76260394821 0.0412212875599 1.0 1.0
29.3553546012 1.0 1.0 1.0 1.0 1.75993150016 0.0582264463057 1.0 1.0
30.3733546012 1.0 1.0 1.0 1.0 1.64589648171 0.055252292681 1.0 1.0
37.3063546012 1.0 1.0 1.0 1.0 1.69053993564 0.0313191159482 1.0 1.0
8.42135460124 1.0 1.0 1.0 1.0 1.0 1.0 0.951963751167 0.0259566163562
12.4133546012 1.0 1.0 1.0 1.0 1.0 1.0 1.1972696995 0.0420784869958
15.4083546012 1.0 1.0 1.0 1.0 1.0 1.0 1.16927780566 0.0299778769679
16.4043546012 1.0 1.0 1.0 1.0 1.0 1.0 1.31007783254 0.0879683234062
17.4033546012 1.0 1.0 1.0 1.0 1.0 1.0 1.30937134783 0.033977723904
23.4073546012 1.0 1.0 1.0 1.0 1.0 1.0 1.21670546284 0.0380892507474
28.3873546012 1.0 1.0 1.0 1.0 1.0 1.0 1.29565928853 0.19022128756
29.3553546012 1.0 1.0 1.0 1.0 1.0 1.0 1.27298684048 0.190226446306
30.3733546012 1.0 1.0 1.0 1.0 1.0 1.0 1.32195182203 0.040252292681
37.3063546012 1.0 1.0 1.0 1.0 1.0 1.0 1.37259527596 0.0893191159482
